Borough,School_Name,Phase,Type_Group,Capacity,Pupils,FSM_Percent,Gender,Religious_Character
Islington,Highbury Fields School,Secondary,Local authority maintained schools,1050,729,50.9,Girls,Does not apply
Islington,Elizabeth Garrett Anderson School,Secondary,Local authority maintained schools,900,880,58.3,Girls,Does not apply
Islington,Central Foundation Boys' School,Secondary,Local authority maintained schools,1050,1133,41.8,Boys,None
Islington,Dallington School,Not applicable,Independent schools,180,62,0,Mixed,None
City of London,Charterhouse Square School,Not applicable,Independent schools,400,298,0,Mixed,None
Islington,Richard Cloudesley School,Not applicable,Special schools,104,98,45.9,Mixed,Does not apply
Islington,Samuel Rhodes MLD School,Not applicable,Special schools,140,129,69.8,Mixed,Does not apply
Kensington and Chelsea,Golborne & Maxilla Nursery School,Nursery,Local authority maintained schools,0,96,53.3,Mixed,Does not apply
Kensington and Chelsea,St Anne's & Avondale Park Nursery School,Nursery,Local authority maintained schools,0,43,48.8,Mixed,Does not apply
Kensington and Chelsea,Chelsea Open Air Nursery School,Nursery,Local authority maintained schools,0,65,7.4,Mixed,Does not apply
Kensington and Chelsea,Ashburnham Community School,Primary,Local authority maintained schools,229,152,59.2,Mixed,Does not apply
Kensington and Chelsea,Barlby Primary School,Primary,Local authority maintained schools,370,368,53.3,Mixed,Does not apply
Kensington and Chelsea,Bevington Primary School,Primary,Local authority maintained schools,341,264,38.5,Mixed,Does not apply
Kensington and Chelsea,Bousfield Primary School,Primary,Local authority maintained schools,450,431,13.2,Mixed,Does not apply
Kensington and Chelsea,Colville Primary School,Primary,Local authority maintained schools,480,467,26.3,Mixed,Does not apply
Kensington and Chelsea,Fox Primary School,Primary,Local authority maintained schools,420,415,8.4,Mixed,Does not apply
Kensington and Chelsea,Marlborough Primary School,Primary,Local authority maintained schools,507,444,24.4,Mixed,Does not apply
Kensington and Chelsea,Oxford Gardens Primary School,Primary,Local authority maintained schools,420,225,61.8,Mixed,Does not apply
Kensington and Chelsea,Park Walk Primary School,Primary,Local authority maintained schools,236,186,37.2,Mixed,Does not apply
Kensington and Chelsea,Avondale Park Primary School,Primary,Local authority maintained schools,420,293,47.8,Mixed,Does not apply
Kensington and Chelsea,Thomas Jones Primary School,Primary,Local authority maintained schools,210,234,39.7,Mixed,Does not apply
Kensington and Chelsea,Christ Church CofE Primary School,Primary,Local authority maintained schools,210,202,11.4,Mixed,Church of England
Kensington and Chelsea,Holy Trinity CofE Primary School,Primary,Local authority maintained schools,210,197,31.5,Mixed,Church of England
Kensington and Chelsea,Oratory Roman Catholic Primary School,Primary,Local authority maintained schools,210,210,9.5,Mixed,Roman Catholic
Kensington and Chelsea,St Thomas' CofE Primary School,Primary,Local authority maintained schools,236,197,54.1,Mixed,Church of England
